code;number;edition;character;series;quality;obtainedDate;obtainedTimestamp;burnValue;dye.code;dye.name;frame;morphed;trimmed;tag;alias;wishlists;fights;dropQuality;dropper;grabber;guild;worker.effort;worker.style;worker.purity;worker.grabber;worker.dropper;worker.quickness;worker.toughness;worker.vanity;worker.recoveryDate;worker.recoveryTimestamp
vv8g56p;1606;4;Chiho Sasaki;The Devil Is a Part-Timer!;3;Sun, 30 Apr 2023 13:18:45 GMT;1,68286E+12;128;;;;No;No;;;38;0;3;7,32966E+17;7,32966E+17;7,17031E+17;69;F;S;S;S;A;F;D;;
vv8rq0f;6455;4;Nene Amano;Digimon Xros Wars;2;Sun, 30 Apr 2023 12:45:21 GMT;1,68286E+12;23;;;;No;No;;;2;0;2;7,32966E+17;7,32966E+17;7,17031E+17;13;F;S;S;S;D;F;D;;
vv8rrdn;52193;1;Yuna Shimizu;Idol Incidents;2;Sun, 30 Apr 2023 12:45:14 GMT;1,68286E+12;6;;;;No;No;;;1;0;2;7,32966E+17;7,32966E+17;7,17031E+17;4;F;S;S;S;D;F;D;;
vv8rgjf;52431;1;Hachi;My Roommate Is a Cat;2;Sun, 30 Apr 2023 11:16:23 GMT;1,68285E+12;14;;;;No;No;;;1;0;2;9,99739E+17;7,32966E+17;6,48032E+17;8;F;S;S;F;A;F;D;;
vv8p1t3;29964;2;Akira Natsume;EX-ARM;3;Sun, 30 Apr 2023 10:38:44 GMT;1,68285E+12;36;;;;No;No;;;1;1;3;7,32966E+17;7,32966E+17;6,48032E+17;20;F;S;S;S;S;D;D;;
vv8pfk6;6169;2;Minagi Tohno;Air;2;Sun, 30 Apr 2023 10:19:11 GMT;1,68285E+12;26;;;;No;No;;;3;1;2;7,32966E+17;7,32966E+17;6,48032E+17;15;F;S;S;S;S;D;D;;
vv8p0nk;52357;1;Adlet Mayer;Rokka: Braves of the Six Flowers;2;Sun, 30 Apr 2023 10:03:35 GMT;1,68285E+12;10;;;;No;No;;;6;0;2;7,32966E+17;7,32966E+17;7,17031E+17;6;F;S;S;S;S;F;D;;
vv8zsnw;52163;1;Tonkyun;Mikagura School Suite;1;Sun, 30 Apr 2023 09:37:24 GMT;1,68285E+12;2;;;;No;No;;;1;0;1;7,32966E+17;7,32966E+17;7,17031E+17;1;F;S;S;S;S;F;D;;
vv8455g;18653;2;Mio Yamanobe;I-CHU: Halfway Through the Idol;0;Sun, 30 Apr 2023 09:21:29 GMT;1,68285E+12;5;;;;No;No;;;3;0;0;7,32966E+17;7,32966E+17;7,17031E+17;1;F;S;S;S;B;F;D;;
vv845f6;882;5;Witch Regret;Edens Zero;4;Sun, 30 Apr 2023 09:21:26 GMT;1,68285E+12;307;;;;No;No;;;12;0;4;7,32966E+17;7,32966E+17;7,17031E+17;169;F;S;S;S;A;F;D;;
vv848m0;52418;1;Ether;Gijinka de Manabo!;3;Sun, 30 Apr 2023 09:05:35 GMT;1,68285E+12;15;;;;No;No;;;2;0;3;7,32966E+17;7,32966E+17;7,17031E+17;8;F;S;S;S;A;F;D;;
vv8pq79;15978;1;Mikoto Suoh;K-Project;2;Sun, 30 Apr 2023 08:20:37 GMT;1,68284E+12;29;;;;No;No;;;73;0;2;7,32966E+17;7,32966E+17;7,17031E+17;15;F;S;S;S;S;F;D;;
vv8zrj4;7182;4;Wonton;Food Fantasy;0;Sun, 30 Apr 2023 08:03:13 GMT;1,68284E+12;11;;;;No;No;;;5;0;0;;7,32966E+17;7,17031E+17;5;F;S;S;F;D;F;D;;
