"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"v0k5cgk","15835","3","Puck","Re:ZERO -Starting Life in Another World-","1","Sat, 15 Jul 2023 18:10:35 GMT","1689444635235","30","","","","No","No","","","47","0","1","","341480905606430720","717030509405929503","14","F","S","F","F","F","F","D","",""
"bm64k8","12788","1","Yuuma Kunimi","Rascal Does Not Dream of Bunny Girl Senpai","0","Sat, 15 Jul 2023 18:10:35 GMT","1689444635235","6","","","","No","No","","","2","0","0","341480905606430720","341480905606430720","632548882231984129","4","F","S","F","F","A","F","C","",""
"vqvdnh6","30916","2","Komachi Hikigaya","My Teen Romantic Comedy SNAFU OVA","1","Sat, 15 Jul 2023 18:10:35 GMT","1689444635235","18","","","","No","No","","","10","0","1","341480905606430720","341480905606430720","717030509405929503","10","F","S","F","F","A","F","D","",""
"vq090xs","576","5","Gratianus","Vinland Saga","2","Sat, 15 Jul 2023 18:10:35 GMT","1689444635235","52","","","","No","No","","","4","0","2","","341480905606430720","717030509405929503","25","F","S","F","F","F","F","C","",""
"brvs9k","1416","1","Salum Pristis","Re:ZERO -Starting Life in Another World- The Prophecy of the Throne","3","Sat, 15 Jul 2023 18:10:35 GMT","1689444635235","13","","","","No","No","","","1","0","3","341480905606430720","341480905606430720","632548882231984129","8","F","S","F","F","A","F","A","",""
"h7ztb4","8334","1","Conwood Melahau","Re:ZERO -Starting Life in Another World-","1","Sat, 15 Jul 2023 18:10:35 GMT","1689444635235","2","","","","No","No","","","1","0","1","341480905606430720","341480905606430720","717030509405929503","1","F","S","F","F","B","F","A","",""
"vqz2kbj","54664","1","Cynthia","Mobile Suit Gundam 08th MS Team","1","Sat, 15 Jul 2023 18:05:37 GMT","1689444337278","1","","","","No","No","","","0","0","1","732966109916954677","732966109916954677","717030509405929503","0","F","S","S","S","B","F","D","",""
"vqzqs2s","54786","1","Holimaca","Akame ga Kill!","1","Sat, 15 Jul 2023 15:23:14 GMT","1689434594852","4","","","","No","No","","","1","0","1","732966109916954677","732966109916954677","717030509405929503","1","F","S","S","S","A","F","D","",""
"vqz0s7l","1866","5","Sayo Amakusa","Rurouni Kenshin","4","Sat, 15 Jul 2023 14:21:49 GMT","1689430909506","155","","","","No","No","gift","","1","1","4","","732966109916954677","717030509405929503","80","F","S","S","F","B","D","D","",""
"f42dxs","360","4","All Might","My Hero Academia","4","Sat, 15 Jul 2023 14:06:01 GMT","1689429961081","349","$l6r96","Pickled Lemon","hauntedstone","Yes","No","mha","","311","10","4","732966109916954677","732966109916954677","648031568756998155","374","B","S","S","S","S","S","A","Wed, 09 Aug 2023 21:50:27 GMT","1691617827223"
"vqz0qsw","4042","2","Vesta","Harem in the Labyrinth of Another World","3","Sat, 15 Jul 2023 14:04:35 GMT","1689429875791","87","","","","No","No","","","10","0","3","732966109916954677","732966109916954677","717030509405929503","48","F","S","S","S","S","F","D","",""
"vqz0dns","16247","2","Bercouli","Sword Art Online: Alicization","2","Sat, 15 Jul 2023 13:53:47 GMT","1689429227524","44","","","","No","No","","","19","0","2","","732966109916954677","717030509405929503","23","F","S","S","F","A","F","D","",""
